Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
11U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,9-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
12U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,10-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
13U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,11-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
14U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,12-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
7U,60,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,13-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,0
8U,60,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,14-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,1
9U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,15-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,1
10U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,16-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,3
11U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,17-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,1
12U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,18-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,0
13U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,19-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,2
14U,175,2403,Louisiana Summer State Championship,https://www.grandslamtournaments.com/baseball/Events/2403/louisiana-summer-state-championship,20-Jun,DENHAM SPRINGS,LA,WEST FELICIANA SPORTS PARK,0
